iter	Passed	Remaining
596	1762	1189
597	1765	1186
598	1768	1183
599	1770	1180
600	1772	1176
601	1775	1173
602	1778	1170
603	1780	1167
604	1783	1164
605	1785	1161
606	1788	1157
607	1790	1154
608	1793	1151
609	1795	1148
610	1798	1144
611	1800	1141
612	1803	1138
613	1806	1135
614	1809	1133
615	1813	1130
616	1816	1127
617	1819	1124
618	1822	1121
619	1825	1118
620	1829	1116
621	1832	1113
622	1834	1110
623	1837	1107
624	1841	1104
625	1844	1102
626	1848	1099
627	1850	1096
628	1853	1093
629	1856	1090
630	1860	1087
631	1863	1085
632	1866	1082
633	1869	1079
634	1873	1077
635	1876	1074
636	1880	1071
637	1884	1069
638	1887	1066
639	1891	1063
640	1894	1060
641	1897	1058
642	1900	1055
643	1903	1052
644	1906	1049
645	1909	1046
646	1912	1043
647	1915	1040
648	1917	1037
649	1919	1033
650	1921	1030
651	1924	1027
652	1926	1023
653	1930	1021
654	1933	1018
655	1935	1015
656	1938	1012
657	1941	1008
658	1944	1006
659	1946	1002
660	1948	999
661	1951	996
662	1953	993
663	1956	990
664	1960	987
665	1963	984
666	1966	981
667	1970	979
668	1972	976
669	1975	973
670	1978	970
671	1981	966
672	1982	963
673	1984	959
674	1985	956
675	1987	952
676	1988	948
677	1991	945
678	1992	942
679	1994	938
680	1996	935
681	1997	931
682	1999	928
683	2001	924
684	2003	921
685	2005	918
686	2007	914
687	2009	911
688	2010	907
689	2012	904
690	2013	900
691	2015	897
692	2017	893
693	2019	890
694	2022	887
695	2025	884
696	2028	881
697	2031	878
698	2034	876
699	2037	873
700	2040	870
701	2042	867
702	2045	864
703	2048	861
704	2051	858
705	2054	855
706	2057	852
707	2059	849
708	2063	846
709	2065	843
710	2068	840
711	2072	838
712	2074	835
713	2077	832
714	2080	829
715	2083	826
716	2086	823
717	2089	820
718	2092	817
719	2095	814
720	2098	812
721	2100	808
722	2102	805
723	2105	802
724	2108	799
725	2111	796
726	2114	793
727	2116	790
728	2118	787
729	2120	784
730	2123	781
731	2126	778
732	2129	775
733	2132	772
734	2135	769
735	2138	766
736	2141	764
737	2144	761
738	2147	758
739	2149	755
740	2152	752
741	2155	749
742	2158	746
743	2161	743
744	2164	740
745	2166	737
746	2169	734
747	2172	731
748	2175	729
749	2178	726
750	2181	723
751	2184	720
752	2186	717
753	2190	714
754	2192	711
755	2194	708
756	2197	705
757	2200	702
758	2202	699
759	2206	696
760	2209	693
761	2212	690
762	2215	688
763	2218	685
764	2221	682
765	2223	679
766	2225	676
767	2228	673
768	2230	670
769	2232	666
770	2234	663
771	2236	660
772	2238	657
773	2240	654
774	2242	651
775	2244	647
776	2247	644
777	2249	641
778	2251	638
779	2253	635
780	2256	632
781	2258	629
782	2261	626
783	2263	623
784	2265	620
785	2267	617
786	2269	614
787	2271	611
788	2273	607
789	2275	604
790	2278	601
791	2280	598
792	2281	595
793	2283	592
794	2285	589
795	2287	586
796	2289	583
797	2291	580
798	2293	577
799	2295	573
800	2297	570
801	2298	567
802	2300	564
803	2302	561
804	2304	558
805	2307	555
806	2309	552
807	2310	549
808	2312	546
809	2314	542
810	2316	539
811	2318	536
812	2320	533
813	2322	530
814	2324	527
815	2326	524
816	2327	521
817	2329	518
818	2331	515
819	2333	512
820	2335	509
821	2337	506
822	2339	503
823	2341	500
824	2342	496
825	2344	493
826	2346	490
827	2348	487
828	2351	484
829	2353	482
830	2355	479
831	2358	476
832	2359	473
833	2361	470
834	2364	467
835	2367	464
836	2369	461
837	2371	458
838	2373	455
839	2375	452
840	2378	449
841	2380	446
842	2383	443
843	2385	440
844	2387	438
845	2390	435
846	2393	432
847	2396	429
848	2399	426
849	2402	424
850	2405	421
851	2407	418
852	2410	415
853	2413	412
854	2416	409
855	2419	406
856	2421	404
857	2423	401
858	2425	398
859	2427	395
860	2429	392
861	2431	389
862	2432	386
863	2434	383
864	2436	380
865	2437	377
866	2439	374
867	2441	371
868	2443	368
869	2445	365
870	2446	362
871	2448	359
872	2449	356
873	2451	353
874	2453	350
875	2454	347
876	2457	344
877	2460	341
878	2463	339
879	2466	336
880	2469	333
881	2472	330
882	2476	328
883	2479	325
884	2482	322
885	2485	319
886	2488	317
887	2492	314
888	2495	311
889	2498	308
890	2501	306
891	2504	303
892	2508	300
893	2510	297
894	2513	294
895	2517	292
896	2520	289
897	2523	286
898	2525	283
899	2528	280
900	2532	278
901	2535	275
902	2537	272
903	2541	269
904	2544	267
905	2547	264
906	2551	261
907	2555	258
908	2558	256
909	2561	253
910	2564	250
911	2567	247
912	2569	244
913	2572	242
914	2575	239
915	2578	236
916	2581	233
917	2583	230
918	2586	228
919	2590	225
920	2592	222
921	2595	219
922	2598	216
923	2601	213
924	2605	211
925	2607	208
926	2611	205
927	2614	202
928	2618	200
929	2621	197
930	2624	194
931	2626	191
932	2628	188
933	2631	185
934	2634	183
935	2637	180
936	2640	177
937	2643	174
938	2646	171
939	2649	169
940	2653	166
941	2655	163
942	2659	160
943	2662	157
944	2665	155
945	2668	152
946	2671	149
947	2673	146
948	2675	143
949	2678	140
950	2680	138
951	2682	135
952	2684	132
953	2687	129
954	2688	126
955	2691	123
956	2693	121
957	2695	118
958	2697	115
959	2699	112
960	2701	109
961	2704	106
962	2706	103
963	2709	101
964	2712	98
965	2714	95
966	2717	92
967	2720	89
968	2722	87
969	2725	84
970	2728	81
971	2732	78
972	2735	75
973	2738	73
974	2741	70
975	2745	67
976	2748	64
977	2751	61
978	2754	59
979	2757	56
980	2759	53
981	2762	50
982	2765	47
983	2767	45
984	2770	42
985	2773	39
986	2776	36
987	2779	33
988	2782	30
989	2786	28
990	2790	25
991	2793	22
992	2796	19
993	2798	16
994	2801	14
995	2804	11
996	2807	8
997	2810	5
998	2812	2
999	2815	0
